user_id,KC1,KC2,KC3,KC4,KC5,KC6,KC7,KC8,KC9,KC10,OverallScorePercentage
2546,1,0,1,1,1,1,0,0,1,0,0.6
1500,0,1,1,1,1,1,0,1,1,0,0.7
2184,0,1,1,1,1,0,0,1,0,0,0.5
2088,0,1,1,1,1,1,0,0,1,0,0.6
1235,0,1,0,0,1,1,0,0,1,1,0.5
1714,0,0,0,1,0,1,0,0,0,0,0.2
2084,0,1,1,1,1,0,0,1,1,0,0.6
1604,0,1,1,0,1,0,1,1,1,0,0.6
2200,0,1,0,1,1,0,0,1,1,0,0.5
1787,1,1,1,0,1,1,1,1,1,1,0.9
1561,0,1,0,0,0,0,0,0,1,0,0.2
1496,0,1,1,0,1,1,0,0,1,0,0.5
1740,0,1,1,1,1,1,0,1,1,0,0.7
1433,0,0,0,0,1,1,0,0,0,0,0.2
2300,0,1,1,1,1,0,0,1,1,0,0.6
1744,0,0,0,1,1,0,0,0,1,0,0.3
1372,0,1,1,0,1,1,0,1,0,0,0.5
1832,1,1,1,1,0,1,0,0,0,1,0.6
1325,0,0,0,0,1,0,0,1,0,0,0.2
1636,0,0,0,0,1,1,0,1,1,0,0.4
1995,0,1,1,1,1,1,0,1,1,0,0.7
2017,0,1,0,1,1,1,0,1,0,0,0.5
1461,1,1,1,1,1,1,1,1,1,0,0.9
2589,0,1,1,1,1,0,1,0,1,0,0.6
1897,0,0,1,1,1,0,0,0,0,0,0.3
1512,0,1,1,1,1,1,0,0,1,0,0.6
1284,0,1,0,1,1,0,1,1,1,0,0.6
1620,0,1,1,1,1,1,0,1,0,0,0.6
1205,1,1,1,1,1,1,1,1,1,1,1
1396,0,0,0,1,1,1,0,0,1,0,0.4
3020,1,1,1,1,1,0,0,0,1,0,0.6
1488,0,0,0,1,0,0,0,0,0,0,0.1
2304,0,1,1,1,1,0,1,0,1,0,0.6
1168,0,0,1,1,1,0,1,1,1,0,0.6
1555,0,1,1,0,1,1,0,1,1,0,0.6
1803,0,0,1,0,0,1,0,0,1,0,0.3
2774,0,1,0,0,1,0,0,1,0,0,0.3
2068,0,0,1,1,0,0,0,0,1,0,0.3
2035,0,1,1,0,1,0,0,1,1,1,0.6
1783,0,0,1,0,1,0,0,1,1,0,0.4
1492,0,0,0,1,1,0,0,1,1,0,0.4
1712,0,0,0,1,1,0,0,1,0,0,0.3
1777,0,1,0,1,1,0,0,1,1,1,0.6
1895,0,0,1,1,0,1,0,1,1,0,0.5
2239,0,1,0,1,1,1,0,1,1,0,0.6
2400,1,1,0,0,0,0,0,1,1,0,0.4
1626,0,1,1,1,1,0,0,1,0,0,0.5
1394,0,1,0,1,0,0,0,0,1,0,0.3
1817,0,1,1,1,1,1,0,1,1,0,0.7
1610,0,1,1,1,0,0,0,0,1,0,0.4
1229,0,0,0,1,1,0,0,0,1,0,0.3
2145,1,1,0,0,1,0,0,0,0,0,0.3
1848,0,1,1,1,1,1,0,1,0,0,0.6
2636,1,1,1,1,1,1,0,1,1,1,0.9
2766,0,0,1,1,0,1,0,1,1,0,0.5
1683,0,1,0,1,1,0,0,0,1,0,0.4
1084,0,1,0,1,1,1,0,0,0,0,0.4
1634,0,1,1,0,0,1,0,0,0,0,0.3
1927,0,1,1,1,1,0,0,1,1,0,0.6
2019,0,1,1,1,1,0,0,0,1,0,0.5
2444,0,1,1,1,1,1,0,0,1,0,0.6
2629,0,1,0,1,0,0,0,1,1,0,0.4
1471,0,1,0,1,0,0,0,0,1,0,0.3
1408,0,1,0,0,1,1,1,0,1,0,0.5
2556,0,1,1,1,1,0,0,1,1,0,0.6
1771,0,0,0,0,0,0,0,1,1,0,0.2
2359,0,1,1,1,0,1,0,1,0,0,0.5
2090,0,1,0,1,1,1,0,1,0,0,0.5
2096,0,0,1,1,0,1,0,1,1,0,0.5
1860,0,0,1,0,1,1,0,1,1,0,0.5
2037,0,1,0,1,1,0,0,1,1,0,0.5
2375,0,1,1,1,1,1,0,0,1,0,0.6
1779,0,1,0,1,0,0,0,0,0,0,0.2
1891,0,1,1,1,0,1,1,1,1,0,0.7
2408,0,1,0,1,0,0,0,1,1,0,0.4
1895,0,0,0,1,1,0,0,1,1,0,0.4
2444,0,1,1,1,0,1,0,0,1,0,0.5
2485,0,1,0,0,0,0,0,0,0,0,0.1
2644,0,0,1,1,1,1,1,1,1,0,0.7
2424,0,1,1,1,1,1,1,1,1,0,0.8
1864,0,1,1,1,1,0,0,0,1,0,0.5
1960,0,1,0,1,1,0,0,0,0,0,0.3
2204,0,0,1,0,0,0,0,1,0,0,0.2
1903,0,0,1,0,1,0,0,1,0,0,0.3
2381,0,0,0,1,0,1,0,0,0,0,0.2
2184,0,1,0,1,0,1,0,1,1,0,0.5
2086,0,1,1,1,1,0,0,0,1,0,0.5
1638,1,1,1,1,1,0,0,0,1,0,0.6
2770,0,1,0,0,1,1,1,1,0,0,0.5
2690,1,0,1,0,0,0,0,0,1,0,0.3
2167,0,1,0,1,1,0,0,0,0,0,0.3
2080,1,1,1,1,1,1,1,1,1,0,0.9
1695,0,0,1,1,1,0,0,0,0,0,0.3
2375,0,1,1,1,1,1,0,1,0,0,0.6
2271,0,1,1,1,1,0,0,1,0,0,0.5
2279,0,1,1,0,1,1,0,0,0,0,0.4
2271,0,1,1,1,1,0,0,1,1,0,0.6
2820,0,1,0,1,0,0,0,0,0,0,0.2
2900,0,1,1,1,0,0,1,0,1,0,0.5
1719,0,0,1,1,0,1,0,1,0,0,0.4
1996,0,1,1,1,1,0,0,1,0,0,0.5
1933,1,1,0,1,1,0,1,1,1,1,0.8
1725,0,1,1,1,1,1,0,1,0,0,0.6
1412,0,1,0,1,0,1,1,1,1,0,0.6
2336,0,1,1,1,1,0,0,0,0,0,0.4
2104,0,0,1,1,1,0,0,1,0,0,0.4
1711,0,1,1,1,0,0,0,1,1,1,0.6
2381,0,1,1,1,0,0,0,1,0,0,0.4
1846,0,0,1,1,1,0,0,0,1,0,0.4
2261,0,1,0,1,0,1,0,1,0,0,0.4
2458,0,0,1,1,1,0,0,0,1,0,0.4
2206,0,0,0,1,1,1,0,1,0,0,0.4
2385,0,1,0,0,1,1,0,0,0,0,0.3
1640,0,1,0,0,0,1,0,1,0,0,0.3
1355,0,0,0,1,1,0,0,1,1,0,0.4
1852,0,0,0,0,1,0,0,1,1,0,0.3
1807,0,1,1,1,0,0,0,1,0,0,0.4
1901,1,1,0,0,1,1,1,0,1,0,0.6
2084,1,1,1,0,0,1,0,1,1,1,0.7
2145,0,1,1,0,1,0,0,1,1,0,0.5
2043,0,1,0,1,1,1,0,0,1,0,0.5
1795,0,1,1,1,1,1,0,1,0,0,0.6
2330,0,1,1,1,1,1,1,1,1,0,0.8
1536,1,1,1,0,1,1,1,1,1,1,0.9
1813,0,0,1,1,1,1,0,1,1,0,0.6
1909,0,1,1,1,1,1,0,0,1,0,0.6
1589,0,1,0,1,1,1,0,0,1,0,0.5
2717,1,1,1,1,1,1,1,1,1,0,0.9
2226,0,1,0,1,1,1,1,0,1,1,0.7
2200,0,1,0,1,1,0,0,1,0,0,0.4
1944,0,0,1,1,1,1,0,0,0,0,0.4
1797,0,1,1,1,1,1,1,0,1,0,0.7
2493,1,1,1,1,0,1,1,0,1,0,0.7
2406,0,0,0,1,1,1,0,0,1,0,0.4
2353,0,1,1,1,1,1,0,0,0,0,0.5
2477,0,0,1,1,1,1,0,1,0,0,0.5
1520,1,0,0,1,1,1,0,0,0,0,0.4
1960,0,1,0,1,1,1,1,1,0,0,0.6
1927,1,1,1,1,1,1,1,1,1,0,0.9
1848,0,1,0,1,1,0,0,0,0,0,0.3
2064,0,0,1,1,1,0,0,0,1,0,0.4
2650,0,0,0,0,0,0,0,1,1,0,0.2
2031,0,1,1,1,1,1,0,1,0,0,0.6
2168,0,0,1,1,0,1,0,0,0,0,0.3
2904,0,1,0,1,1,0,0,1,1,0,0.5
2208,0,1,0,1,1,0,0,0,1,0,0.4
2119,0,1,1,1,1,0,0,0,0,0,0.4
2585,0,1,1,1,1,1,0,0,0,0,0.5
2385,0,0,0,1,1,0,1,0,1,0,0.4
2257,1,0,0,1,0,0,0,1,0,0,0.3
2216,0,0,1,1,1,0,0,0,0,0,0.3
2027,0,1,1,1,1,1,0,1,1,0,0.7
2680,0,0,1,0,1,0,0,1,0,0,0.3
2153,0,1,0,1,1,1,0,1,0,0,0.5
2173,0,1,1,0,1,0,0,1,1,0,0.5
2037,0,1,0,1,1,1,1,1,1,1,0.8
2662,1,0,0,1,0,1,0,0,1,0,0.4
2312,0,1,1,1,1,1,0,1,1,0,0.7
2904,0,0,1,1,0,1,0,1,1,0,0.5
1381,0,0,0,1,1,0,0,0,0,0,0.2
1483,0,1,0,1,1,1,1,0,0,0,0.5
1304,0,0,1,1,0,0,0,0,1,0,0.3
1147,0,1,1,1,1,0,0,1,1,0,0.6
1542,0,1,0,0,1,0,0,0,1,0,0.3
1660,0,1,1,1,1,0,0,1,1,0,0.6
1131,1,1,1,1,1,0,0,0,0,0,0.5
1107,0,1,1,1,1,1,0,1,1,0,0.7
899,0,1,1,1,1,0,0,0,1,0,0.5
1575,0,1,1,1,1,1,0,0,0,0,0.5
1326,0,1,1,1,0,0,0,1,0,0,0.4
1789,0,1,1,1,0,1,0,0,0,0,0.4
1447,0,1,1,0,1,0,1,1,1,0,0.6
1587,0,0,0,1,1,0,0,0,0,0,0.2
1284,0,1,1,1,1,1,0,1,1,0,0.7
1581,0,1,1,1,0,1,0,1,1,0,0.6
1787,0,1,1,0,1,0,0,1,0,0,0.4
2399,0,0,0,1,1,1,0,1,1,0,0.5
1880,0,1,1,1,1,0,1,1,1,0,0.7
1225,1,1,1,0,1,0,0,1,1,0,0.6
1685,1,0,0,0,1,1,0,0,1,1,0.5
1194,0,0,1,1,1,0,1,0,0,0,0.4
2389,1,1,1,1,1,1,0,1,1,1,0.9
1520,0,1,0,1,1,1,1,1,1,1,0.8
1964,0,1,1,1,1,0,0,1,1,0,0.6
1563,0,0,1,1,0,0,0,0,1,0,0.3
2053,0,1,1,0,0,0,0,1,0,1,0.4
